,うきうきそわそわ,うじうじぐだぐだ,うずうずそわそわ,うろうろごそごそ,うろうろぬるぬる,かりかりこりこり,かりかりほくほく,がくがくぶるぶる,がたがたごそごそ,きらきらごてごて,ぐちゃぐちゃどろどろ,こそこそかさかさ,ころころどさどさ,ごろごろぎしぎし,ごろごろだらだら,さくさくじゃんじゃん,じゃんじゃんばりばり,そろそろいちゃいちゃ,そろそろちょくちょく,そわそわわくわく,てくてくぐるぐる,でれでれにやにや,どきどきわくわく,どろどろぐつぐつ,どんどんぼこぼこ,ぬめぬめねちねち,ぬるぬるねばねば,はーはーぜーぜー,ばしゃばしゃばりばり,ばらばらべちゃべちゃ,ぱくぱくもぐもぐ,ぱたぱたふわふわ,ひそひそぼそぼそ,びくびくうねうね,びくびくおどおど,びしびしばしばし,ぴかぴかごてごて,ふらふらゆらゆら,ふらふらよろよろ,ぶんぶんぴょんぴょん,ぷるぷるもじもじ,ほくほくさくさく,ほろほろうまうま,ぼそぼそごわごわ,むしゃむしゃがぶがぶ,むしゃむしゃごくごく,むしゃむしゃばりばり,もぐもぐぱくぱく,もじもじまごまご,わいわいがやがや
N4979ETmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
N1118EVmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
N6887DTmid,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7521DYmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,3.0,,
N1980ENmid,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2682DYmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
N7268EGmid,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
N6658EJmid,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7650ERmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
N8577DNmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
N4764DUmid,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
N1963ELmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
N1583DJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
N6221DLmid,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
N0955ELmid,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4176EHmid,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
N6062EUmid,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
N3512DSmid,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1075EHmid,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7612CTmid,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N0849EFmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
N4271EWmid,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9545ERmid,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5288ENmid,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0442EMmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
N9049ELmid,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
N4602ESmid,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0074EMmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
N9107EEmid,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4150EImid,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
N3262EMmid,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
N9551EEmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
