,かんかんがくがく,がりがりばりばり,きらきらわくわく,ぎとぎとごてごて,ごそごそがさがさ,つやつやてかてか,とろとろふわふわ,どきどきはらはら,どきどきわくわく,どたどたそわそわ,どろどろごてごて,にこにこにやにや,ぬくぬくぽかぽか,はらはらどきどき,ばきばきどかどか,ぴかぴかごろごろ,べろべろどろどろ,もぐもぐぶつぶつ,わいわいがやがや
N9975DEmid,,,,,,,,,,,,,,,,1.0,,,1.0
N8264DWmid,,,,,,,,1.0,,,,,,,,,,,
N2656EVmid,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,
N1243DYmid,,,11.0,,,,,,1.0,,,,5.0,,,,,1.0,2.0
N3055EXmid,,,,,,1.0,,,,,,,,,,,,,
N7203BSmid,,,,1.0,,,,,,,1.0,,,,,,,,
N4994EVmid,1.0,,,,,,,,,,,,,,,,,,
N0801EJmid,,,,,,,,,,,,,,,,,,,1.0
N9077DFmid,,,,,1.0,,,,,,,1.0,,,,,,,
N0658DUmid,,,,,,,,,,1.0,,,,,,,,,
N3247EGmid,,,,,,,,,,,,,,,1.0,,,,
