,ウロボロ,エンドロ,カップル,カーペン,キンシッ,キーパー,キーボー,クスクラ,クントク,グラウン,コンクリ,コントロ,ザーグー,ザービー,シャンパン,シャンプー,ジューシー,スクリーン,スタサラ,スーパー,ドタバタ,ハッキリ,ハッピー,バタフラ,パッキー,パートン,ビーブル,ピクシー,ピチャポチャ,ピリオド,ピーカー,フラサワ,フンコロ,ブラウン,ブーバン,ペットボ,ムンガン,リンスタ,リンピッ,ワイトク,ワイパー,ワースラ
N4080EKkata,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2870ERkata,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
N6526EQkata,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N1804EGkata,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,4.0,,,,,1.0,,,1.0,,,1.0,
N4312EHkata,1.0,,,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,3.0,,,,,5.0,,,,1.0,,,,,1.0
N3633EWkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N0947EIkata,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,
N0222EHkata,,,3.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,9.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,,1.0,,
N1642EVkata,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3959EUkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,
N5058EJkata,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5159DZkata,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3738EVkata,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
