,いらいらつんつん,うねうねうじゃうじゃ,おどおどうろうろ,からからじめじめ,かんかんがくがく,がくがくぶるぶる,がたがたがちがち,がちゃがちゃがさがさ,きょろきょろぎしぎし,ぎゃーぎゃーわーわー,ぎりぎりみしみし,くしゃくしゃもじゃもじゃ,ぐだぐだうじうじ,ぐちゃぐちゃどろどろ,ごりごりがりがり,しゃきしゃきさくさく,じゃんじゃんばりばり,ちらちらちかちか,つやつやぴかぴか,つるつるぺたぺた,てかてかぬるぬる,てくてくきょろきょろ,でかでかつらつら,でんでんかっかっ,どきどきはらはら,どきどきわくわく,にこにこるんるん,にやにやへらへら,にょろにょろひらひら,のろのろばりばり,のろのろよたよた,はらはらどきどき,ばちばちばりばり,ぴーぴーぎゃーぎゃー,ふんふんすーすー,ぶかぶかどんどん,ぶるぶるがたがた,ぷるぷるつやつや,べたべたいちゃいちゃ,ぼろぼろばらばら,もやもやむらむら,よれよれぶかぶか,わいわいきゃーきゃー,わくわくどきどき
N6000EUmid,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
N9360ETmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N3107Nmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
N0862EJmid,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7434EAmid,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1791EUmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
N9434EPmid,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
N7114CYmid,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9735EImid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
N1827CJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
N0663Pmid,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4496EHmid,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
N5084BVmid,,,,,,4.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,,,,,,1.0,,,1.0,
N0671CCmid,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
N7026DDmid,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
N8900EHmid,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1726EHmid,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8234Jmid,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4212EHmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
N6770ETmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
N5839ELmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
N3346CEmid,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
N7994ETmid,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6769DYmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N1776CJmid,1.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
N5391EJmid,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7040CSmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0
