,アーハッ,エンジン,エントロ,オタマジ,オンギャー,オンスー,オンボロ,カステラ,カタキチ,カタコト,カチャカチ,カップル,カラパー,カランポロ,カリフラ,ガサゴソ,ガタゴト,ガチャガチ,ガラクタ,ガーハッ,キコバタ,キャッスル,キラキラリ,キリギリ,キンキラ,キンシッ,キーパー,キーボー,キーワー,クスキュー,クッキー,グスカー,グラウン,グーリン,コロンコロ,コンクリ,コンクー,コントロ,コンポー,ゴーグル,ザックザク,シッギシ,シナプス,シャンパン,シャンボシャ,シートン,ジャングル,ジューシー,ジンクス,スカウト,スクリーン,スクワー,スポワー,スーハー,スーパー,タッカタ,タックル,チリリン,チリリーン,チンゲー,チンチラ,チンピラ,チンミシ,ツンコツン,ツンデレ,トロピカ,トンカラ,トンクラ,ドングリ,ドーピン,ノシカタ,ノシカッ,ハッキリ,ハッハー,ハッピー,ハラドキ,ハードボ,バカチン,バシャバシ,バタンバタ,パッチリ,パッチン,パンジー,パーキン,パーボリ,ビショビシ,ピングジ,ピンポイ,ピーカー,フラフラリ,ブラコン,ブリザー,ブービー,プリムラ,プンカー,ペットボ,ボンボリ,ポリシー,ポロリポロ,ポンコツ,ポーカー,ポーツカ,ムズアップ,ムンガン,メチャクチャ,リンプス,ワンピー,ワーカー,ワーバラ
N8596EKline_info_k,,,,,,,['「あ、あの、ボク、吊り橋渡ってたら、吊り橋壊れちゃって、ええとボクが重くて壊れたわけじゃなくて、元々吊り橋がオンボロで……」\n'],['\u3000屋根の瓦が板チョコで、まわりの壁がカステラで、窓のガラスが氷砂糖で、入り口の扉はクッキーと、どこもかしこもお菓子でした。\n'],,,,,,,,,,,,,"['\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n', '\u3000キコバタトン、キコバタトントン。\n']",['「ば、化け物め……貴様は生かしてはおけん！\u3000さあ呑まれてもらうぞ！\u3000【｜地獄海底御招待《ディープキャッスルカモン》】ッ！！」\n'],,,,,,,,['「貴方は相変わらず芸がないわね！\u3000【｜機巧科学大極刑《ミシンエクスキューション》】ッ！！！」\n'],"['\u3000屋根の瓦が板チョコで、まわりの壁がカステラで、窓のガラスが氷砂糖で、入り口の扉はクッキーと、どこもかしこもお菓子でした。\n', '\u3000クッキーの扉が開いて現れたのは、年を取ったおばあさん。\n']",,,,,['\u3000すると、木々の陰から黒服の男たちと歴戦の大工たちが次々と現れ、周囲の木々や用意していたコンクリートを巧みに使いあっという間に一本橋を造り上げました。\n'],,['\u3000青年が受け取った織物を元手に一帯の経済事情を完全にコントロールすると、見る見るうちに経済が回っていき、この地の文明レベルは一気に上昇して自動車とかスマホとかも出来た。\n'],,,"['\u3000おじいさんはシロがいう通り畑を掘ってみると、なんと中から大判小判がザックザク！\n', '\u3000おじいさんとおばあさんはその木で臼をつくって、お餅をつきました。すると臼の中から大判小判がザックザク！\n', '\u3000お殿様は大層喜んでおじいさんに大判小判をザックザク与えました。\n']",,,,,,,,,,,,,,,,,,,,,,['「まぁ逞しくて愉しくてかっこ良い素敵な人なのでしょう、織物の模様にしてあげるわ！\u3000【｜機巧科学処刑場《ギロチンミシン》】！！」\n'],,,,"['\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n', '\u3000トントンカラリ、トンカラリ。\n']",,,['「おじいさん、あたしもお手伝い致しますにゃあ。【｜潜在能力大解放《ドーピングイビルデッドパワー》】ッ！！」\n'],,,"['\u3000少女は拳を握りしめ、マッチ以上に燃える瞳を天に向けハッキリと叫んだ。\n', '\u3000ヘンゼルはよそわれてきた二杯目も平らげると多分に汗をかきながら冷たい水を飲みほし、一息つくと鋭い目つきでハッキリと札を掲げる。\n']",,,,,,,,,['\u3000その様子を虚ろな目で見ていた五人の小人達は白雪姫の指パッチンを合図に、\n'],,,,,,['「ないィ！？\u3000おれの『砂山』に対し、ピンポイントで｜対策魔法お札《アンチマジックカード》を引き当てただとぉ？！\u3000ぐわあああああああああああああぁぁぁぁッ！！」\n'],,,,['「【｜奥義・超有名絶対零度《エターナルフォースブリザード》】！！」\n'],,,,,,,,,,,,,,,,,
N0571EFline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ファーブル昆虫記、シートン動物記、どくとるマンボウ昆虫記。魚や恐竜、虫、動物図鑑、写真集。本の外でも中でも、わたしは生きものが大好きだ。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1815EMline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['外套の反対側のポケットには、白雪姫があげたクッキーをずっと食べている食いしん坊ちびふわもいます。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2689ELline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['私のシナプスが最期の思考を刻む。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000これで__________＿漸くハッキリした。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['            同年 蠍月 『ヨルムンガンド戦争』でニブルヘ 滅亡。ミスガル国が領土最大を獲得\n'],,,,,
N7439CKline_info_k,,,,,,,,,,,,,,,,,,,,,,,['\u3000剣も聖剣守さんの言葉と同じことを思ったかのように、柄の玉がキラキラリと光を反射します。\n'],,"['［＃中見出し］キンキラな自称勇者さん［＃中見出し終わり］\n', '\u3000しかも身に着けているのが、金箔や銀箔で装飾されたキンキラで派手な、新品な金属鎧なので、より胡散臭さが増しています。\n', '\u3000そして何が起きたか確かめる自称勇者さんの、キンキラな金属鎧の真ん中に「私は間抜けです」と、乱暴な字で共通文字が彫られていました。\n', '\u3000加えて、何時の間にかキンキラな鎧も傷つけられて、見るも無残なクズ鉄一歩手前な有様になってしまっています。\n', '「確かにキンキラのボロボロさんとは違いますね。でも――」\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000そして寝巻から洋服に着替えて、洗面器に水を張ってから、顔をバシャバシャと音を立てて洗います。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0270ESline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000近所のスーパーに惣菜とビールを買いに行った帰りの事。', '\u3000食卓にはスーパーの惣菜、ビール、少女の作った数々の料理が並びました。', '\u3000奥さんの手料理で馴染んだ舌に、スーパーの惣菜は味気なく。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6397EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000風に揺れては木陰を動かすひまわりの下で、一匹のキリギリスが汗だくになっていた。こいつは、なるべく日陰から出ないように、大きな葉の下を選んで腰掛けているけれど、やっぱり夏の暑さっていうのは簡単にはしのげない。', '\u3000キリギリスはうっかり者だから、ちょっと気を抜くといつもこんな感じなんだ。危うく弓を折りそうになったのなんて、ムカデの足ほどある。', '\u3000それから、キリギリスは腿で手の汗をぬぐうと、ようやく弓を構えて一呼吸。', '\u3000そこには目をまん丸にしたキリギリスだけ、ポツンと取り残されたわけだ。', '\u3000ハッとしてキリギリスが顔を上げるとと、少し離れた小石の上にアリがどーんと腰掛けていた。', '\u3000キリギリスはうっと言葉を詰まらせ、力なくうつむくと、もごもご声にならないものを口の中で噛みしめる。ぐうの音も出ないっていうのは、こういうときに使う言葉だった。', '\u3000キリギリスは肩を落として呟き、大きな大きなため息を落とした。', '\u3000だからキリギリスは、寒い寒い冬を迎える前に、食べ物を手に入れる手段としてすてきなバイオリンの音色を出せるようになりたかったらしい。', '\u3000しっしっとアリに手で払われ、身をすくませたキリギリスは大人しく忍び足で離れると、木陰にある紫陽花の下へと潜り込んでいった。あのデカイ態度のアリに言い返そうなんて、これっぽっちも思わない。', '\u3000キリギリスが見上げると、上の葉からカタツムリが頭を伸ばしてこちらを見ていた。', '\u3000眠たげに触覚の目をパチパチさせて、ふああと大きなあくびをこぼしたけど、こいつはいつもこんな調子だ。でも、キリギリスはすぐに音を止めてバイオリンを小脇に抱えた。', '\u3000まあ、起こされてしまったけれど。とむにゃむにゃ言うカタツムリに謝りながら、キリギリスは慌てて茂みから駆け出していった。', '\u3000キリギリスはじりじり肌を焼く日向に出ると、ピョンピョン跳んでひまわりの前を通り過ぎていく。', '\u3000通りかかった別のアリに、キリギリスはそっと指差してみせる。', '\u3000すると働き者のそいつは、さっきのキリギリスといい勝負なくらい、大きな大きなため息を返して触覚をぶるぶる揺らした。', '\u3000そんなアリもいるのか。キリギリスはアリが働き者ばかりだと思っていたから、心底びっくりしたらしい。', '\u3000じゃあまたね、なんて荷物を背負い直したアリたちが手を振るのに頭を下げて、キリギリスはお礼を言った。', '\u3000もう一度小石を見ると、ちょうどあのアリがごろりと寝返りを打つ。眉間にしわを寄せた顔がこっちを向いたので、キリギリスは慌てて草むらに飛び込んだ。', '\u3000音が届かないように少し歩いた先のヤマブキの木陰で、キリギリスは何度目かのため息をこぼす。ため息だけは一丁前に奏でられるなんて、まったく頼りないったらない。', '\u3000次の日も、そのまた次の日も次の日も、キリギリスは誰もいないところを探してはバイオリンを構えた。', '\u3000簡単だとは思わないけど、ここまで難しくて、才能が空っぽなんて。キリギリスは知っていたけどやっぱり打ちのめされて、がっくりと肩を落とした。', '\u3000キリギリスは、空腹で目が覚めてまたため息をこぼした。吐息でますますお腹が減ってしまいそうだし、追い討ちをかけるみたいにぐるると腹が鳴っている。', '\u3000ひまわりは眠っているように下を向いている。その長い茎と葉の裏にアブラムシがいるのを見つけて、キリギリスはようやくこの日の食事にありつくことができた。', '\u3000とろりとした暗闇に低い声が響いて、キリギリスは思わず弓を取り落とした。これで二十七回目だ。', '\u3000ごろりとこちらを向いたアリに、臆病者のキリギリスは、ビクリと肩を揺らして眉を下げた。絵に描いたような情けない顔だった。', '\u3000体はどう見たってキリギリスのほうが大きい。それなのに、こいつはこのアリに敵うわけがないと思い込んでいるから、恐る恐る口を開いた。', '\u3000うっとキリギリスは喉に言葉を詰まらせた。毎回そうだけど、返す言葉もないらしい。', '\u3000アリはキリギリスの抱えているバイオリンへ視線を向けると、おもむろに体を起こした。', '\u3000リーンリーンと鳴き始める鈴虫の美しい声ならいざ知らず、キリギリスのバイオリンでは子守唄になるはずもない。', '\u3000こんな夜に、なにをする気なのだとアリは元から悪い目つきで鋭い視線を向けてくる。ぶるりとキリギリスは体を震わせた。', '\u3000他人から見ても、そこまでこき下ろすほどなのか。キリギリスは小さな声でもごもごしゃべっていたのに、最後のやつはほとんどため息と一緒だった。', '\u3000哀れっぽく嘆いたのに合わせて、しょんと頭の触覚が垂れ下がる。ぎゅっとバイオリンを抱きしめたキリギリスは、体を小さくさせてうつむいた。', '\u3000ボソボソと口を動かすと、アリがピクリと触覚を揺らした。キリギリスはますます体を小さくさせる。', '\u3000低い声が、キリギリスのうんと近くでこぼれた。', '\u3000大きくて立派な顎がそこにあるのを見て、キリギリスは身を強張らせて言葉を失う。本当にこいつときたら、すっかり油断したってわけだ。', '「フン。おまえみたいなトロくさいキリギリス、冬も待たずに今すぐ、まるっと食ってやる」', '\u3000アリは遠慮なくキリギリスを小馬鹿にしている。それもそうだ、こいつはどこまでもうっかりしているからしかたがない。', '\u3000カチカチ鳴る顎は、キリギリスの腕も腹も長い足も、バリバリと難なく噛み砕くだろう。', '\u3000今、キリギリスが勇気を出してピョンと跳べば、逃げられるかもしれないのに。', '\u3000やっぱりそこはこのキリギリスだ。足がガクガク震えて、頭が真っ白になったらしい。動けないでアリを見るだけ。', '\u3000カチカチ。その音が、怖くて。キリギリスは余計に震えた。', '\u3000でも、こいつだって大人しくどうぞ食べていいよなんて言わない。キリギリスは涙をこらえながら、こいつにしてはめずらしく自分を奮い立たせて口を動かす。', '\u3000なにを言ってるんだこいつ、と顔全体で言っている。その気持ちはなんだか同意したくなるけど、手を合わせて頭を下げたキリギリスが先を続けた。', '\u3000どう頑張ってもこのキリギリスは生きるのも下手くそなのだからしかたがない。だったらせめて、安らかに死にたいってことなのだろう。', '\u3000じっと夜の闇の中、アリの目がキリギリスを射抜くように見つめた。', '\u3000ここにいるのは、無事に冬を越したいキリギリスと、キリギリスを食べたいアリ。', '\u3000ここにいるのは、無事に冬を越したいキリギリスと、キリギリスを食べたいアリ。', '\u3000キリギリスはアリの目を見つめ返したまま二回大きくうなずいた。', '\u3000キリギリスも想像してぶるりと震えた。けれども、このアリを前にして逃げようなんて思えなかった。なにせ、キリギリスはなにをするにも上手くいったことはない。', '\u3000キリギリスも想像してぶるりと震えた。けれども、このアリを前にして逃げようなんて思えなかった。なにせ、キリギリスはなにをするにも上手くいったことはない。', '\u3000ごろりと小石に戻ったアリに、キリギリスはひまわりの茎に寄り添うと背中に向かっておやすみなさいと呟いた。', '\u3000次の朝からキリギリスの生活は不思議なものになっていった。', '\u3000今までずっとバイオリンの練習をしていたけれど、それも必要ではなくなってしまったはずだ。けれども、キリギリスは変わらずひまわりの根元で弓を握った。不器用なこいつは、練習をやめる気にはなれなかったのである。', '\u3000キリギリスが相変わらずのひどい音を出しても、意外なことにしかめ面でそこから動かなかった。', '\u3000キリギリスが逃げないように見張るつもりなのと、飢え死にさせないようにすると言ったのは本当らしい。アリは寝たりゴロゴロしたりする合間に、ふらりとどこかに行っては食べるものを持ち帰ってきていた。', '\u3000さっき捕まえたチョウの羽をバリバリ食べながら、アリはキリギリスにも一枚よこす。', '\u3000ニヤリと悪い顔で笑うアリに、キリギリスは困ったように眉を下げて、居心地悪そうにひまわりの根元に座り直すしかできない。', '\u3000紅葉やどんぐりがたくさん地面を覆う季節はせっかちで、キリギリスが木の葉の隙間を渡り歩けば、ちらりちらりと雪が降る。', '\u3000アリはこのところ、何日か空けてキリギリスに食べ物を持ってきていた。さすがのあいつでも、この季節ともなれば食料を見つけるのに苦労するのだろう。', '\u3000下手くそなバイオリンを聞きながら、馬鹿だ阿呆だと憎まれ口も叩くけれど、なんだかんだとキリギリスに付き合い続けている。', '\u3000キリギリスは前みたいに腹が空きすぎて夜に起きることもない。だからキリギリスはあのアリに感謝していた。', '\u3000キリギリスは前みたいに腹が空きすぎて夜に起きることもない。だからキリギリスはあのアリに感謝していた。', '\u3000かじかむ指で弓を握って、キリギリスは白い息を吐いた。', '\u3000そういえば、あいつが最後に来たのはいつだったか。キリギリスもそう思ったらしく、ふと、手を止めて考える。今回はいつもよりも日が経っているような気がして、めずらしく、キリギリスの腹がぐうと鳴った。', '\u3000そういえば、あいつが最後に来たのはいつだったか。キリギリスもそう思ったらしく、ふと、手を止めて考える。今回はいつもよりも日が経っているような気がして、めずらしく、キリギリスの腹がぐうと鳴った。', '\u3000なにかあったのかもしれない、とキリギリスはハッとする。強いとは言ってもあいつはただのアリ。アリにだって天敵はいるし、命を落とすことはある。そんなのはよくある話だ。', '\u3000寒くて寒くて、体が動かなくなって。目も霞んで、声も出なくなって。バイオリンを抱えたまま、キリギリスはもう枯れてなくなったひまわりの咲いていた場所で雪に埋もれていた。間抜けなこいつは、ずっとずっとここにいる。', '\u3000キリギリスの頭の中にいよいよモヤがかかって、真っ白になるとき。あの低い声が聞こえた。', '\u3000キリギリスの目はもう開かなくて、あいつが今、どんな顔をしているのかもわからない。', '\u3000いつもいつもひとりぼっちだった、間抜けなキリギリス。', '\u3000大丈夫なら、いいんだ。そう言って、キリギリスはふんわり笑みを浮かべた。', '\u3000ああ、なんて間抜けなんだろう。嘆く間もなく、ぐいと強い強い力が首のあたりにかけられて、ああ、そうかとキリギリスは思った。', '\u3000この身がアリの糧となるなら、それも悪くないじゃないか。もう痛みも感じないだろう。そう思ってから、ふうと息を吐き出して、キリギリスはあっさりと意識を手放した。', '\u3000ああ、お手柄だ。あんなに丸々としたキリギリス、よく持ってこれたな。今までなんで本気を出さなかったんだよ。', '\u3000キリギリスが気づくと、そこはあたたかな寝床である。', '\u3000ぼんやりしていた頭がはっきりしたとき、あの低い声が聞こえてキリギリスは目を落としそうなほどまん丸にした。', '\u3000せっかく意識もなくて死ぬところだったから、痛みもないはずだったのに。キリギリスはパチパチとまたたいた。', '\u3000キリギリスの横には、きちんとバイオリンが置かれている。', '\u3000それがまたずいぶんと艶やかで、キリギリスが見た中でいっとううつくしかった。こんなバイオリンを見たのは、こいつのじいさんが弾いていたとき以来だ。', '\u3000それにキリギリスが逆らえるわけがない。目でバイオリンを示されて、キリギリスはしかたなく顎で挟み、弓を構えた。', '\u3000それにキリギリスが逆らえるわけがない。目でバイオリンを示されて、キリギリスはしかたなく顎で挟み、弓を構えた。', '\u3000思わずキリギリスは手を止めてバイオリンを見つめた。', '\u3000アリは、抜かりなく全部整えていた。このキリギリスが冬を越せる場所も、そのお膳立ても。', '\u3000ぎゅっとバイオリンを抱きしめたキリギリスに、アリはカチリと顎を鳴らして視線を外した。', '\u3000不機嫌にそう言うのに、こんなときに限ってキリギリスはくすくす笑いだしている。', '\u3000キリギリスは、それに微笑んだ。', '\u3000フン、と鼻を鳴らしてアリはごろりと寝転んだ。眉は寄ったままだけど、怒っていないんだってキリギリスでさえわかっている。', '\u3000食えよ、とぶっきらぼうに言って並べてあった食べ物を投げたので、キリギリスはありがとうと両手で受け取った。', '\u3000キリギリスは今から楽しみでしかたがないらしい。のんきに笑みを浮かべるのに、アリはもう悪態吐くこともしないでごろりと寝返った。そこに、子守唄みたいなやわらかな旋律が響き始める。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9268EMline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000しかしその基礎的なミスに気づきポンコツ先入観が取り払われ、身バレをしてぜひお妃に、という話になれば大変です。なにしろこの国の王子、顔はイケメンなのですが、かぞえ天狗なみの数マニアなのです。シンデレラはひそかに「かぞえプリンス」と呼んでいました。\n'],,,['\u3000大通りに野太いV8の大排気量サウンドが鳴り響き、魔女はサムズアップしながらシンデレラに呼びかけました。\n'],,,,,,
N7675EAline_info_k,,,,,,,,,"['カタキチカタキチ。いまどき珍しい人力の機械を若い男の人が押しています。その人が通った後にはうねうねとくねった苗の列が続いているのでした。指示を出しているのは初老の男性です。お父さんかなお義父さんかな。\n', 'カタキチカタキチ。いまどき珍しい人力の機械を若い男の人が押しています。その人が通った後にはうねうねとくねった苗の列が続いているのでした。指示を出しているのは初老の男性です。お父さんかなお義父さんかな。\n', 'カタキチカタキチ。ふたたび車輪が回り始めました。\n', 'カタキチカタキチ。ふたたび車輪が回り始めました。\n']",,,,,"['音符たちはあちこちにぶつかって、カランポロンと音を奏でていきます。\n', 'ケラケラケラ、カランポロンカラン♪\n']",,['ゆかこさんはそう言って、ぴゅーと伸びてきているしなやかな｜徒長枝《とちょうえだ》を切って来ました。そうして社務所のひんやりしている石の上に座って、ガサゴソと帽子を編み始めました。\n'],,,,,,,,,,,,,,,,,,,['クククククッ、コロンコロンポンッ♬\n'],,,,,,,,,,,,,,,,['ゆかこさんがその子の側の窓をつつくと、スクリーンのように家族の夏休みの思い出が映し出されました。\n'],,,,,['町に降りた馬は、カタッカタッカタッと軽快な音を響かせて路地を駆けていきます。一軒の家の前で馬とゆかこさんは止まりました。\n'],,,,,,,,,,,,,['「やあねぇ、ドングリたちもやって来たわ。」\n'],,,,,,,,,,,['バタンバタンとドアを閉める音がして\n'],,,,,,,,,,,,,,,,,"['ゆかこさんはホタル草を採って来て、器用に丸いボンボリを編んでいきました。\n', '蛍も喜んで、フワッとボンボリの中へ入って行きましたよ。\n', 'ゆかこさんがそれを手に持つと明るい｜提灯《ちょうちん》のようにボンボリが光り始めました。\n', 'ゆかこさんはホタル草のボンボリをそっと放り投げて結んでいた紐を解きました。\n']",,,,,,,,,,,,
N1423EMline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000しかしりんごジャム、りんごパイ、りんごのコンポート、りんごのパウンドケーキなどなど並ぶテーブルを見て彼女は固まった。', '「じゃあ、私はコンポートを食べてみるから、貴方はパウンドケーキを食べてみて」', '\u3000しかし、カタリーナの様子など気にすることなく、白雪姫はコンポートをひょいと食べた。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6533EQline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000出版社に作品を持ち込んでは突き返され、コンクールの最終選考に残ったことはあっても、夢はいつも、はかなく打ち砕かれていた。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3369EQline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000不思議そうな顔をする侍女にはそれ以上の説明をせず、ぽたりぽたりと血は垂れる。それは白い雪へと染み込み、赤と白のコントロラストは鮮やかなものだった。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0564EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ミカは左胸を押さえて、スーハーと深呼吸。\n'],,,,,,,,,,,,,,,,,['「ヤサシイ、ニンゲン、イタ。ソレダケデ、トッテモウレシイ。シリトリ、タノシカタ。――――タダシニ、ミンナニ、ツタエテ。アリガトウ」\n'],['「――――タノシカッタ」\n'],,,,,,,,,,,,,,,,,['\u3000そんな微笑ましい会話をテレビの音声がつんざいた。警戒せざるを得ないような鋭い音が、テレビのスピーカーを震わせた。それは緊急速報を知らせるアラート音だった。\n'],,,,,,,,,,,,,,,,,,,,
N0671EFline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,['クレアはキーボードを叩きながら、首を傾げた。\n'],,,,,,,,['ヴェルデが、誰にともなく言った時だ。風切り音とともに、私の頬を鋭い射線が｜掠《かす》め、コンクリートの壁に穴が開いた。\n'],,,,,,,,['ダド・フレンジーは、現場で待っていた。降り続く雨が、野次馬で取り巻く紳士淑女を濡らしている。シャンパンゴールドのシボレー・カマロは、浜に打ち上げられたシャチのようにロビーでごろ寝していた。遺体はそこから、運び出されたらしい。運転席のシートに花が咲いたみたいな血痕があったのが、外からでも確認出来た。\n'],,,,,['「『タフじゃなければ、生きていくことなんて出来はしない。優しくなければ、生きている資格がない』。…ジンクスを守るのは、私だけで十分だ」\n'],,,"['「なぜだ…この十五年、凄腕の殺し屋やってるのにちっとももてた試しがない。スクワーロウ、おれの何が間違っていたんだ？」\n', '「スクワーロウさん、今回は嵐に救われましたね」\n', '「スクワーロウさん早くっ、取り押さえて下さいっ！」\n', '「どういうことだ！？勝負しない気か、スクワーロウ！」\n', '「スクワーロウさん…」\n', '「相変わらずだな、スクワーロウ。まだその頬袋、使ってるんだな」\n', '「行くぜスクワーロウ！」\n', '「大丈夫ですか、スクワーロウさん」\n', '「いえ、その…気になったんです。いつもと違うので。スクワーロウさん、なんて言うか、いつもよりハードボイルドだから…」\n', '「スクワーロウ、お前…死ぬ気か？」\n', '「スクワーロウ、お前…始末するってそれは…？」\n', '『とっくに閉めました。スクワーロウさん、今どこにいるんですか！？』\n', '「スクワーロウさんの分も買ってきてありますよ」\n', '「絶対に逮捕しましょう、スクワーロウさん。わたしも協力します。フレンジーさんには、話をつけてあります」\n', '「スクワーロウさん…相手は殺し屋なんですよ？それじゃ死んじゃいます」\n', '「その人、スクワーロウさんに何をしたんですか？」\n', '「スクワーロウさん」\n', '「行ってらっしゃい、スクワーロウさん。わたしもすぐに駆けつけます。ダド警部たちを連れて！」\n']",,,,,,,,,,,,,,['トロピカーナで唯一やっているナッツの屋台を見つけ、私は｜炒《い》り立てを買った。頬袋の弾丸を吐き出すと、私はさくさくのナッツを噛み砕きながら考える。さてと、奴を｜炙《あぶ》り出すのに渡るのはもう一回、危ない橋だ。\n'],,,,,,,,,,,"['だからこの街で私は、ハードボイルドがやめられないのだ。\n', '私は、前に一歩、踏み出した。ワイリーはサブマシンガンに手をやった。あいつを乱射させはしない。私は銃を棄ててみせた。ここで退いてはハードボイルドが廃る。\n', '「違う、お前は間違っている。私はお前に何度も説得を試みたはずだ。ハードボイルドが、してはいけない一線をお前は、越えてしまった。なりふり構わないその度を越したやり方が、お前自身を破滅に追い込んだ。あれは、必然だったんだ」\n', 'クレアが心配そうに、私を見守る。ただのアーモンドでは、人を殺す『弾丸』には勝てない。そんなことは分かっている。だがそこを通すのがハードボイルドだ。\n', '「あれが私が、どうしても奴を許すことの出来なかった理由だ。ハードボイルドが、もっともやってはいけないことだ」\n', '「いえ、その…気になったんです。いつもと違うので。スクワーロウさん、なんて言うか、いつもよりハードボイルドだから…」\n', '「私はいつも、ハードボイルドだ」\n', '「そうなんです。そうなんですけど、なんて言うか今日は、いつもと、ハードボイルドが違うって言うか…」\n', '「私はいつでもハードボイルドだ」\n', '「だから自分、それハードボイルド違いやで？」\n', '［＃中見出し］PHASE.2 ハードボイルドな戸惑い［＃中見出し終わり］\n', '「それがハードボイルドだからだ」\n', '決まった。これ以上ないくらいのハードボイルドだった。\n', '「奴がやったのは私たち、ハードボイルドが絶対やってはいけないことだ」\n', '「私にしたわけじゃない。あの男は、ハードボイルドを｜冒涜《ぼうとく》したんだ。これは私がハードボイルド・リスである限り、許せないことなんだ」\n', '「私にしたわけじゃない。あの男は、ハードボイルドを｜冒涜《ぼうとく》したんだ。これは私がハードボイルド・リスである限り、許せないことなんだ」\n', '薄汚れた、あの金の『弾丸』を今でもあいつが使っている限り。私がこのリス・ベガスでハードボイルドとして生きる限り。\n', '「お前が｜服役《おつとめ》行ったら、誰がこの街を守るんや。殺したらあかん。その男がかつて、あんたにどんなえげつないことしでかしたとしてもや。なあ、それがほんまもんのハードボイルドってものやないか」\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
