,いじいじうじうじ,いちゃいちゃべたべた,うじうじいらいら,うろうろきょろきょろ,おどおどびくびく,きらきらぴかぴか,ごそごそぼそぼそ,ごつごつざらざら,ごろごろだらだら,さくさくぱりぱり,さくさくほろほろ,そわそわおろおろ,そわそわどきどき,つやつやふわふわ,つるつるぴかぴか,どきどきふわふわ,どきどきわくわく,にこにこでれでれ,にこにこへらへら,はらはらどきどき,ひそひそくすくす,ひそひそげらげら,ひそひそごそごそ,ふがふがもごもご,ふらふらよたよた,ふわふわふらふら,むらむらもやもや,もぐもぐさくさく,よろよろふらふら,わいわいがやがや,わくわくそわそわ,わくわくてかてか
N6017DMmid,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,1.0,,,,,,
N0753EEmid,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N6291EPmid,,,,,,,,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,
N1494EWmid,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
N4757EUmid,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,,,
N3578EPmid,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5898EYmid,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6665EGmid,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N6807EOmid,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
N8542DTmid,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N3039BMmid,,1.0,,,,3.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,2.0,,1.0
N4277BDmid,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
N0014EOmid,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
N0219EYmid,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
N9042ENmid,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
