,いじいじうじうじ,いちゃいちゃべたべた,いらいらかりかり,うきうきそわそわ,うじうじいらいら,うじうじめそめそ,うろうろきょろきょろ,おどおどびくびく,かりかりこりこり,きらきらぴかぴか,ぎとぎとねとねと,ぎゃーぎゃーぐちゃぐちゃ,ぐいぐいぽかぽか,ぐじぐじうだうだ,こりこりぼりぼり,ごそごそぼそぼそ,ごつごつざらざら,ごろごろだらだら,さくさくごくごく,さくさくぱりぱり,さくさくほろほろ,ざらざらごつごつ,じゃんじゃんばりばり,そろそろいらいら,そわそわおろおろ,つやつやふわふわ,つるつるぴかぴか,どきどきふわふわ,どきどきわくわく,どんどんぼろぼろ,にこにこでれでれ,にこにこへらへら,ぬらぬらぎとぎと,ぱさぱさごわごわ,ぱりぱりさくさく,ひそひそくすくす,ひそひそげらげら,ひそひそごそごそ,ひりひりずきずき,びくびくおどおど,ぴちゃぴちゃくちゃくちゃ,ふがふがもごもご,ふらふらゆらゆら,ふらふらよたよた,ふわふわくねくね,ふわふわふらふら,ぶつぶつにやにや,ぷりぷりぷんぷん,ぷるぷるいらいら,ぽかぽかぬくぬく,ぽりぽりかりかり,まるまるうまうま,むらむらもやもや,もぐもぐさくさく,よろよろふらふら,わいわいがやがや,わくわくそわそわ,わくわくてかてか,わくわくどきどき
N6017DMmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
N8156CEmid,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4130EBmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
N6291EPmid,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
N1494EWmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
N4757EUmid,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,1.0,,,,
N3123COmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N3578EPmid,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9625CGmid,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
N7289DJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5898EYmid,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6665EGmid,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6807EOmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4000DTmid,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8542DTmid,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5472CUmid,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3185ECmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
N7269DPmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
N8123DTmid,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7777DOmid,,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
N0550CDmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
N3039BMmid,,1.0,,,,,,,,3.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,
N6272DKmid,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,,
N8362DKmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N4148BUmid,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4277BDmid,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0219EYmid,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
N9042ENmid,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
