,うきうきそわそわ,おどおどびくびく,きょろきょろうろうろ,きんきんぴかぴか,きーきーきゃーきゃー,ぐいぐいにこにこ,さくさくほろほろ,じゃんじゃんばりばり,そろそろじめじめ,そわそわざわざわ,だらだらぬくぬく,つやつやてかてか,どきどきはらはら,はらはらどきどき,ぴーぴーぎゃーぎゃー,ぷりぷりさくさく,ぼとぼととげとげ,わくわくどきどき
N8252CGmid,,,,,,,,,,,,,,,,,1.0,
N2033EPmid,,,,,,1.0,,,,,,,,,,,,
N7814EGmid,,,,1.0,,,,1.0,,,,,,,,2.0,,
N1338EWmid,,1.0,,,,,,,,,,,,,,,,
N7424EOmid,,,,,,,,,1.0,,,,,,,,,
N6599DSmid,,,,,,,,,,1.0,,,,,,,,
N0715ECmid,,,,,,,,,,,1.0,,,,,,,
N7733EOmid,,,,,,,,1.0,,,,,,,,,,1.0
N1166ETmid,,,,,,,,,,,,,,,1.0,,,
N7959ERmid,,,,,,,1.0,,,,,,,,,,,
N6808EGmid,1.0,,,,,,,,,,,,,,,,,
N5715CPmid,,,,,,,,,,,,,,1.0,,,,
N6774EMmid,,,,,,,,,,,,,1.0,,,,,
N0572DImid,,,1.0,,,,,,,,,,,,,,,
N3578EWmid,,,,,,,,,,,,,,1.0,,,,
N4027ERmid,,,,,1.0,,,,,,,,,,,,,
N2101DPmid,,,,,,,,,,,,1.0,,,,,,
